Squad,MP,GF,GA,GF_away,GA_away
Atletico Madrid,19,41,11,26,14
Real Madrid,19,33,13,34,15
Barcelona,19,44,20,41,18
Sevilla,19,27,11,26,22
Real Sociedad,19,34,21,25,17
Betis,19,27,21,23,29
Villarreal,19,29,23,31,21
Celta Vigo,19,30,30,25,27
Granada,19,25,25,22,40
Athletic Club,19,29,19,17,23
Osasuna,19,21,23,16,25
Cadiz,19,17,30,19,28
Valencia,19,34,23,16,30
Levante,19,27,30,19,27
Getafe,19,15,13,13,30
Alaves,19,21,25,15,32
Elche,19,18,23,16,32
Huesca,19,17,21,17,32
Valladolid,19,19,30,15,27
Eibar,19,12,21,17,31
